ID,Age
1681,23
1682,21
1683,18
1684,27
1685,26
1686,43
1687,40
1688,13
1689,51
1690,71
1691,44
1692,44
1693,49
1694,46
1695,20
1696,19
1697,16
1698,49
1699,25
1700,21
1701,25
1702,27
1703,26
1704,5
1705,38
1706,44
1707,16
1708,13
1709,10
1710,77
1711,52
1712,44
1713,20
1714,19
1715,84
1716,83
1717,60
1718,55
1719,32
1720,29
1721,27
1722,24
1723,22
1724,65
1725,46
1726,44
1727,19
1728,17
1729,35
1730,37
1731,9
1732,15
1733,64
1734,25
1735,35
1736,34
1737,3
1738,74
1739,71
1740,64
1741,55
1742,30
1743,25
1744,0
1745,28
1746,5
1747,26
1748,23
1749,20
1750,44
1751,20
1752,18
1753,15
1754,12
1755,10
1756,59
1757,30
1758,50
1759,20
1760,18
1761,16
1762,37
1763,31
1764,13
1765,11
1766,7
1767,84
1768,71
1769,60
1770,38
1771,32
1772,28
1773,39
1774,33
1775,15
1776,14
1777,12
1778,10
1779,3
1780,2
1781,49
1782,47
1783,23
1784,20
1785,18
1786,82
1787,55
1788,47
1789,24
1790,6
1791,22
1792,21
1793,19
1794,17
1795,16
1796,15
1797,13
1798,29
1799,39
1800,3
1801,77
1802,39
1803,63
1804,57
1805,22
1806,32
1807,27
1808,29
1809,25
1810,35
1811,10
1812,8
1813,64
1814,80
1815,75
1816,32
1817,39
1818,9
1819,8
1820,4
1821,60
1822,64
1823,26
1824,23
1825,61
1826,54
1827,51
1828,25
1829,44
1830,40
1831,19
1832,17
1833,7
1834,26
1835,69
1836,41
1837,44
1838,19
1839,13
1840,10
1841,40
1842,30
1843,34
1844,36
1845,25
1846,8
1847,45
1848,6
1849,68
1850,71
1851,49
1852,50
1853,20
1854,18
1855,14
1856,12
1857,35
1858,7
1859,48
1860,35
1861,74
1862,39
1863,36
1864,11
1865,0
1866,66
1867,71
1868,35
1869,32
1870,11
1871,7
1872,5
1873,52
1874,47
1875,22
1876,20
1877,19
1878,18
1879,35
1880,42
1881,15
1882,13
1883,0
1884,65
1885,47
1886,43
1887,14
1888,12
1889,9
1890,7
1891,41
1892,66
1893,56
1894,31
1895,29
1896,26
1897,25
1898,12
1899,26
1900,0
1901,63
1902,60
1903,35
1904,38
1905,4
1906,0
1907,28
1908,23
1909,19
1910,51
1911,56
1912,26
1913,54
1914,53
1915,24
1916,0
1917,52
1918,52
1919,30
1920,27
1921,22
1922,40
1923,41
1924,11
1925,2
1926,65
1927,41
1928,40
1929,14
1930,8
1931,1
1932,43
1933,38
1934,15
1935,13
1936,6
1937,5
1938,53
1939,28
1940,23
1941,21
1942,16
1943,71
1944,63
1945,40
1946,34
1947,37
1948,42
1949,16
1950,27
1951,27
1952,56
1953,34
1954,31
1955,30
1956,27
1957,26
1958,25
1959,20
1960,36
1961,6
1962,4
1963,1
1964,61
1965,46
1966,14
1967,12
1968,72
1969,30
1970,53
1971,24
1972,23
1973,28
1974,2
1975,37
1976,41
1977,10
1978,5
1979,2
1980,29
1981,24
1982,32
1983,29
1984,0
1985,69
1986,30
1987,32
1988,7
1989,1
1990,50
1991,42
1992,40
1993,13
1994,11
1995,52
1996,52
1997,21
1998,17
1999,24
2000,82
2001,69
2002,65
2003,41
2004,32
2005,22
2006,38
2007,40
2008,19
2009,13
2010,10
2011,41
2012,40
2013,40
2014,14
2015,9
2016,31
2017,32
2018,1
2019,68
2020,55
2021,30
2022,25
2023,22
2024,18
2025,54
2026,64
2027,20
2028,18
2029,14
2030,94
2031,44
2032,40
2033,35
2034,28
2035,74
2036,32
2037,34
2038,47
2039,43
2040,23
2041,21
2042,19
2043,17
2044,33
2045,31
2046,4
2047,24
2048,23
2049,18
2050,51
2051,48
2052,43
2053,21
2054,14
2055,60
2056,48
2057,24
2058,19
2059,58
2060,44
2061,26
2062,20
2063,63
2064,30
2065,26
2066,36
2067,35
2068,12
2069,4
2070,41
2071,20
2072,15
2073,15
2074,1
2075,41
2076,33
2077,6
2078,3
2079,32
2080,47
2081,4
2082,2
2083,37
2084,41
2085,16
2086,14
2087,36
2088,33
2089,8
2090,6
2091,47
2092,42
2093,18
2094,15
2095,13
2096,8
2097,42
2098,48
2099,18
2100,15
2101,66
2102,57
2103,23
2104,43
2105,45
2106,18
2107,16
2108,28
2109,26
2110,2
2111,37
2112,34
2113,10
2114,5
2115,35
2116,38
2117,6
2118,78
2119,68
2120,56
2121,35
2122,32
2123,30
2124,28
2125,26
2126,22
2127,18
2128,55
2129,57
2130,27
2131,24
2132,21
2133,17
2134,67
2135,66
2136,37
2137,30
2138,65
2139,57
2140,24
2141,18
2142,57
2143,71
2144,30
2145,29
2146,10
2147,9
2148,4
2149,0
2150,46
2151,45
2152,19
2153,83
2154,42
2155,15
2156,11
2157,69
2158,35
2159,40
2160,14
2161,9
2162,26
2163,60
2164,50
2165,42
2166,22
2167,20
2168,38
2169,42
2170,15
2171,3
2172,38
2173,13
2174,56
2175,60
2176,31
2177,24
2178,22
2179,66
2180,59
2181,43
2182,52
2183,18
2184,17
2185,15
2186,54
2187,50
2188,27
2189,22
2190,40
2191,43
2192,38
2193,9
2194,4
2195,83
2196,35
2197,37
2198,11
2199,4
2200,42
2201,42
2202,21
2203,17
2204,16
2205,5
2206,39
2207,45
2208,18
2209,58
2210,68
2211,34
2212,23
2213,70
2214,32
2215,51
2216,50
2217,24
2218,21
2219,48
2220,19
2221,17
2222,56
2223,49
2224,28
2225,26
2226,23
2227,14
2228,34
2229,31
2230,4
2231,26
2232,36
2233,35
2234,13
2235,6
2236,39
2237,34
2238,7
2239,29
2240,28
2241,0
2242,67
2243,63
2244,41
2245,32
2246,31
2247,28
2248,38
2249,3
2250,63
2251,40
2252,28
2253,31
2254,0
2255,27
2256,45
2257,46
2258,12
2259,8
2260,69
2261,64
2262,39
2263,42
2264,14
2265,7
2266,53
2267,44
2268,21
2269,19
2270,16
2271,76
2272,45
2273,37
2274,5
2275,3
2276,83
2277,80
2278,39
2279,36
2280,32
2281,12
2282,9
2283,46
2284,39
2285,24
2286,21
2287,19
2288,66
2289,34
2290,35
2291,11
2292,3
2293,65
2294,63
2295,33
2296,26
2297,20
2298,63
2299,21
2300,17
2301,13
2302,45
2303,16
2304,49
2305,22
2306,45
2307,24
2308,22
2309,62
2310,20
2311,18
2312,45
2313,44
2314,25
2315,24
2316,17
2317,15
2318,46
2319,45
2320,26
2321,24
2322,21
2323,19
2324,16
2325,31
2326,0
2327,61
2328,60
2329,27
2330,14
2331,59
2332,31
2333,26
2334,23
2335,21
2336,35
2337,6
2338,27
2339,54
2340,29
2341,71
2342,65
2343,36
2344,25
2345,20
2346,54
2347,25
2348,24
2349,41
2350,45
2351,7
2352,4
2353,43
2354,47
2355,23
2356,20
2357,38
2358,37
2359,10
2360,9
2361,7
2362,38
2363,40
2364,17
2365,15
2366,52
2367,37
2368,38
2369,15
2370,52
2371,50
2372,27
2373,24
2374,21
2375,19
2376,17
2377,65
2378,41
2379,38
2380,32
2381,68
2382,38
2383,13
2384,15
2385,56
2386,32
2387,25
2388,23
2389,18
2390,66
2391,30
2392,51
2393,48
2394,28
2395,23
2396,30
2397,1
2398,34
2399,34
2400,1
2401,58
2402,91
2403,42
2404,38
2405,14
2406,10
2407,39
2408,40
2409,17
2410,14
2411,82
2412,82
2413,39
2414,54
2415,18
2416,16
2417,8
2418,86
2419,65
2420,50
2421,27
2422,47
2423,44
2424,18
2425,13
2426,35
2427,32
2428,8
2429,6
2430,0
2431,44
2432,24
2433,30
2434,5
2435,16
2436,12
2437,36
2438,62
2439,36
2440,31
2441,28
2442,65
2443,62
2444,36
2445,32
2446,30
2447,26
2448,25
2449,61
2450,55
2451,27
2452,26
2453,73
2454,30
2455,20
2456,21
2457,46
2458,9
2459,31
2460,30
2461,57
2462,34
2463,35
2464,6
2465,62
2466,60
2467,34
2468,30
2469,55
2470,28
2471,77
2472,73
2473,36
2474,55
2475,56
2476,23
2477,59
2478,34
2479,39
2480,37
2481,14
2482,6
2483,41
2484,20
2485,88
2486,63
2487,44
2488,39
2489,16
2490,14
2491,7
2492,69
2493,53
2494,46
2495,26
2496,19
2497,53
2498,53
2499,28
2500,26
2501,69
2502,31
2503,15
2504,75
2505,73
2506,47
2507,38
2508,31
2509,28
2510,3
2511,48
2512,50
2513,22
2514,20
2515,18
2516,15
2517,73
2518,69
2519,71
2520,27
2521,25
2522,19
2523,17
2524,2
2525,0
2526,80
2527,78
2528,53
2529,38
2530,34
2531,16
2532,6
2533,45
2534,19
2535,17
2536,15
2537,54
2538,27
2539,75
2540,44
2541,66
2542,67
2543,40
2544,35
2545,15
2546,12
2547,3
2548,38
2549,38
2550,7
2551,4
2552,45
2553,39
2554,15
2555,13
2556,9
2557,5
2558,50
2559,11
2560,66
2561,69
2562,34
2563,32
2564,4
2565,3
2566,53
2567,32
2568,32
2569,7
2570,68
2571,40
2572,38
2573,13
2574,18
2575,57
2576,32
2577,25
2578,16
2579,43
2580,66
2581,37
2582,36
2583,14
2584,13
2585,11
2586,71
2587,40
2588,38
2589,30
2590,1
2591,51
2592,45
2593,20
2594,14
2595,13
2596,8
2597,8
2598,50
2599,48
2600,19
2601,16
2602,14
2603,64
2604,30
2605,68
2606,42
2607,39
2608,16
2609,10
2610,4
2611,47
2612,42
2613,22
2614,20
2615,18
2616,16
2617,69
2618,35
2619,29
2620,36
2621,30
2622,24
2623,45
2624,41
2625,17
2626,5
2627,67
2628,63
2629,48
2630,50
2631,18
2632,15
2633,12
2634,5
2635,81
2636,74
2637,83
2638,40
2639,37
2640,10
2641,8
2642,3
2643,64
2644,27
2645,23
2646,32
2647,37
2648,25
2649,22
2650,2
2651,33
2652,30
2653,7
2654,5
2655,1
2656,55
2657,54
2658,43
2659,38
2660,17
2661,15
2662,13
2663,58
2664,52
2665,19
2666,0
2667,53
2668,44
2669,19
2670,15
2671,10
2672,6
2673,4
2674,79
2675,43
2676,40
2677,22
2678,23
2679,2
2680,20
2681,17
2682,15
2683,38
2684,29
2685,0
2686,70
2687,33
2688,35
2689,9
2690,5
2691,31
2692,24
2693,5
2694,32
2695,30
2696,3
2697,47
2698,40
2699,19
2700,17
2701,15
2702,12
2703,9
2704,7
2705,4
2706,21
2707,38
2708,39
2709,19
2710,15
2711,9
2712,65
2713,32
2714,31
2715,13
2716,3
2717,76
2718,58
2719,58
2720,18
2721,14
2722,41
2723,52
2724,14
2725,11
2726,8
2727,44
2728,25
2729,57
2730,25
2731,28
2732,26
2733,0
2734,64
2735,35
2736,16
2737,14
2738,11
2739,45
2740,23
2741,12
2742,60
2743,57
2744,28
2745,23
2746,20
2747,17
2748,42
2749,40
2750,21
2751,18
2752,3
2753,19
2754,22
2755,2
2756,17
2757,14
2758,11
2759,8
2760,6
2761,3
2762,66
2763,61
2764,26
2765,24
2766,22
2767,20
2768,44
2769,61
2770,21
2771,19
2772,3
2773,29
2774,24
2775,4
2776,93
2777,54
2778,52
2779,21
2780,18
2781,33
2782,31
2783,8
2784,41
2785,38
2786,19
2787,12
2788,2
2789,47
2790,49
2791,23
2792,16
2793,21
2794,44
2795,40
2796,19
2797,18
2798,15
2799,36
2800,38
2801,15
2802,13
2803,6
2804,55
2805,24
2806,22
2807,41
2808,20
2809,13
2810,83
2811,53
2812,57
2813,29
2814,29
2815,0
2816,22
2817,20
2818,43
2819,39
2820,14
2821,12
2822,49
2823,62
2824,17
2825,20
2826,34
2827,31
2828,3
2829,69
2830,67
2831,42
2832,43
2833,20
2834,19
2835,30
2836,23
2837,3
2838,50
2839,17
2840,56
2841,57
2842,35
2843,28
2844,1
2845,75
2846,28
2847,50
2848,43
2849,21
2850,19
2851,9
2852,37
2853,15
2854,13
2855,49
2856,65
2857,16
2858,41
2859,44
2860,21
2861,16
2862,36
2863,30
2864,0
2865,41
2866,42
2867,18
2868,15
2869,37
2870,36
2871,9
2872,4
2873,33
2874,32
2875,6
2876,1
2877,31
2878,28
2879,7
2880,47
2881,62
2882,25
2883,11
2884,42
2885,37
2886,9
2887,65
2888,21
2889,16
2890,49
2891,54
2892,49
2893,21
2894,66
2895,23
2896,66
2897,60
2898,30
2899,22
2900,1
2901,78
2902,61
2903,51
2904,18
2905,17
2906,11
2907,59
2908,52
2909,43
2910,44
2911,16
2912,14
2913,83
2914,55
2915,66
2916,30
2917,28
2918,22
2919,65
2920,61
2921,28
2922,21
2923,88
2924,59
2925,57
2926,23
2927,20
2928,64
2929,60
2930,37
2931,71
2932,66
2933,22
2934,59
2935,55
2936,23
2937,20
2938,56
2939,20
2940,50
2941,8
2942,62
2943,22
2944,12
2945,10
2946,49
2947,52
2948,24
2949,22
2950,19
2951,48
2952,44
2953,18
2954,11
2955,27
2956,29
2957,2
2958,36
2959,36
2960,9
2961,1
2962,37
2963,39
2964,14
2965,12
2966,62
2967,62
2968,33
2969,24
2970,31
2971,29
2972,7
2973,0
2974,73
2975,70
2976,36
2977,37
2978,15
2979,13
2980,37
2981,29
2982,5
2983,0
2984,70
2985,30
2986,37
2987,7
2988,1
2989,26
2990,26
2991,2
2992,66
2993,30
2994,64
2995,62
2996,20
